,x,y,radius,orient
0,966.3739903459143,47.525657311734356,62.7676,0
1,957.7090000866499,46.396595552409195,62.8024,1
2,942.50000015209,49.06991149270477,62.3098,1
3,920.89900021601,53.1271631055858,63.4747,1
4,897.00000023899,57.579136550794665,62.8591,1
5,865.00000032,62.11739361882098,62.8591,1
6,829.9900003501,67.59053164287928,62.1318,1
7,788.0400004195,72.8055562961927,61.8657,1
8,742.0000004604,79.33837734563873,62.3724,1
9,712.18600029814,82.8368062629654,62.4503,1
10,689.23000022956,85.51664706164404,62.7481,1
11,665.8470002338299,88.10969369389639,63.1571,1
12,642.56200023285,90.63409918799456,63.7252,1
13,499.50000143062,103.245348297949,64.9789,1
14,459.69300039807,104.77303908347854,66.2718,1
15,420.16000039533003,102.02001888957776,68.025,1
16,380.67600039484,97.21513921878861,69.8134,1
17,345.12200035554,91.5406160373359,70.4348,1
18,310.32900034793,86.06237247407606,72.4245,1
19,278.72100031608,80.85188607783068,75.4588,1
20,253.221000255,76.67498772883178,78.1728,1
21,238.00000015221,71.76118988840962,79.6948,1
22,234.79100003209,70.47686313815382,79.5885,1
23,243.23599991555,71.1167573847477,78.9506,2
24,271.21499972020996,77.7647367072953,76.7127,2
25,292.91099978304,80.73899693326312,74.3424,2
26,322.26999970641,83.47670050955928,72.7257,2
27,322.27,83.47670050955928,72.7257,1
28,363.30499958965004,86.22745157492608,68.9566,2
29,413.29899950006,88.84999687812068,67.2698,2
30,262.8010015049799,80.86323172050076,72.2356,2
31,-138.42199598777006,59.587882585521214,85.4956,2
32,-890.7339924768802,19.676067344201662,110.334,2
33,698.4999841076605,91.44304351037304,60.119,2
34,756.9999994149998,87.361448559803,59.4391,2
35,815.12499941875,81.68862722475085,58.4361,2
36,869.99999945125,74.38770616653875,58.1799,2
37,924.08899945911,65.51030805931566,57.803,2
38,976.49999947589,55.73932713539514,56.8954,2
39,1023.3699995313,45.37718150014885,57.1171,2
40,966.37400056996,44.160758421273606,62.7676,0
41,957.7090000866499,46.39182232413627,62.8024,1
42,942.50000015209,49.06990454820103,62.3098,1
43,920.89900021601,53.127163095243695,63.4747,1
44,897.00000023899,57.57913655077924,62.8591,1
45,865.00000032,62.11739361882095,62.8591,1
46,829.9900003501,67.59053164287928,62.1318,1
47,788.0400004195,72.8055562961927,61.8657,1
48,966.3739982166601,44.160758421273606,62.7676,0
49,966.374,44.160758421273606,62.7676,0
50,957.7090000866499,46.39182232413627,62.8024,1
51,942.50000015209,49.06990454820103,62.3098,1
52,920.89900021601,53.127163095243695,63.4747,1
53,897.00000023899,57.57913655077924,62.8591,1
54,865.00000032,62.11739361882095,62.8591,1
55,829.9900003501,67.59053164287928,62.1318,1
56,788.0400004195,72.8055562961927,61.8657,1
57,742.0000004604,79.33837734563873,62.3724,1
58,712.18600029814,82.8368062629654,62.4503,1
59,689.23000022956,85.51664706164404,62.7481,1
60,665.8470002338299,88.10969369389639,63.1571,1
61,642.56200023285,90.63409918799456,63.7252,1
62,499.50000143061993,103.245348297949,64.9789,1
63,459.69300039807,104.77303908347854,66.2718,1
64,420.16000039533003,102.02001888957776,68.025,1
65,380.67600039484,97.21513921878861,69.8134,1
